longitude,latitude
-140.595,-61.067
-109.683,-61.067
-104.967,-61.067
-99.967,-61.05
-26.233,-61.05
114.813,-61.043
-39.967,-61.033
17.445,-61.03
-108.417,-61.017
-104.967,-61.017
-62.017,-61.017
-82.897,-61.012
-71.0,-61.0
-114.777,-60.918
-31.103,-60.868
-160.213,-60.785
-160.213,-60.783
-48.0,-60.775
114.24,-60.755
114.217,-60.743
-34.983,-60.68
-116.0,-60.65
-100.238,-60.65
-171.78,-60.578
-127.75,-60.567
-28.585,-60.565
-40.22,-60.56
-3.642,-60.555
-54.415,-60.517
-54.4,-60.517
-95.083,-60.5
-135.847,-60.497
-21.618,-60.465
-162.465,-60.427
-55.483,-60.417
-47.367,-60.383
-80.638,-60.375
-137.85,-60.333
-29.617,-60.3
-170.023,-60.284
-120.067,-60.283
-62.283,-60.283
-120.167,-60.25
-170.186,-60.244
-114.65,-60.217
-171.533,-60.2
-127.05,-60.2
-142.55,-60.167
-95.083,-60.167
-59.0,-60.133
-109.917,-60.117
-29.867,-60.083
-14.867,-60.083
109.983,-60.07
-104.733,-60.067
-134.917,-60.05
-108.483,-60.05
-95.2,-60.05
-22.558,-60.042
109.935,-60.037
-64.9,-60.033
-61.833,-60.033
-49.208,-60.033
-32.95,-60.033
-145.282,-60.032
6.123,-60.02
-80.587,-60.015
-40.767,-60.01
-6.758,-60.007
-70.783,-60.0
-15.0,-60.0
105.0,-59.997
-50.025,-59.975
-101.317,-59.967
-125.155,-59.957
-139.255,-59.95
-152.75,-59.915
-139.465,-59.9
-114.933,-59.897
-175.493,-59.882
-119.665,-59.855
-78.995,-59.85
-23.432,-59.838
-13.478,-59.8
-66.592,-59.777
-68.867,-59.767
114.947,-59.743
114.945,-59.733
80.817,-59.697
-25.667,-59.65
110.157,-59.65
110.157,-59.648
-24.433,-59.625
-25.733,-59.617
-89.468,-59.597
-89.385,-59.597
17.843,-59.525
-69.317,-59.517
-9.867,-59.495
-9.853,-59.487
-102.55,-59.467
-102.117,-59.467
113.915,-59.425
113.9,-59.42
-130.568,-59.415
-31.265,-59.38
-82.522,-59.368
-19.712,-59.243
-19.727,-59.23
-37.258,-59.167
-145.133,-59.133
-58.933,-59.117
-107.12,-59.09
-37.017,-59.087
-147.833,-59.033
-51.75,-59.033
-48.978,-59.033
-34.015,-59.028
-119.83,-59.023
113.928,-59.023
-147.61,-59.017
-99.758,-59.017
110.133,-59.013
95.23,-59.005
-71.133,-59.0
-125.033,-58.988
-135.5,-58.983
-115.0,-58.983
-40.922,-58.97
-99.983,-58.963
-74.462,-58.95
-114.72,-58.943
-39.817,-58.933
-78.83,-58.925
-56.033,-58.917
-99.963,-58.913
-53.95,-58.9
-27.358,-58.9
-110.15,-58.883
-37.367,-58.875
-63.065,-58.863
-63.567,-58.855
-63.283,-58.837
-90.977,-58.818
-100.583,-58.817
96.347,-58.81
84.233,-58.783
84.247,-58.783
-44.75,-58.717
-169.979,-58.688
-108.8,-58.683
-33.767,-58.683
-36.367,-58.667
-101.25,-58.6
-23.783,-58.6
-74.428,-58.56
-22.4,-58.517
114.102,-58.493
117.425,-58.492
113.92,-58.48
114.122,-58.475
113.898,-58.463
-61.083,-58.45
