longitude,latitude
-132.904833,13.448667
-17.0333,0.3667
-139.9535,10.6708
-140.0435,14.8698
-150.5833,-13.883
-145.9333,-9.8667
-137.7833,9.95
-169.733,19.117
-167.953,21.67
-164.362,8.33
-44.733,27.483
-44.367,27.3
-42.667,26.983
-50.75,23.4
-80.0,-29.36636
36.266656,-24.066392
36.73329,-29.099737
36.766645,-35.84973
35.349989,-32.916415
34.349968,-31.899736
34.81667,-33.01667
-120.287,32.747
-119.14,31.328
-56.4583,19.7433
-56.9267,22.4333
-51.0167,22.35
-37.2083,22.315
-32.06,22.31
-90.0,-6.0
-84.8833,-5.95
-83.4,-12.3633
-85.2617,-12.4167
-87.93,-12.4833
-86.7,-17.4667
-79.3583,-22.94
-78.9667,-26.9117
-78.9883,-30.3833
-54.697,9.492
-54.6967,9.4917
-37.16,22.308
-37.115,22.297
-37.051,22.251
-37.085,22.293
4.005,-31.482
4.037,-31.513
6.523,-31.533
6.5233,-31.5333
6.548,-31.552
8.395,-31.233
9.9867,-31.4817
10.032,-31.435
11.365,-31.5033
-154.95,-30.8167
-149.9667,-29.6
-86.0,-13.25
-142.4,-18.1
-144.0,-20.25
-146.5333,-18.9167
-147.1833,-18.4667
-126.95,28.3833
-139.7667,-8.2333
147.25,11.5833
-139.8,-8.8
-144.25,-12.3333
-145.7,-13.6167
-147.8833,-15.2167
-148.4167,-15.0233
-148.3133,-15.955
-148.4333,-16.1667
-145.7583,-17.2833
-146.533333,-18.916667
-73.1,37.4167
-83.4567,-15.65
-130.1717,-21.05
-130.8467,-18.49
-128.7667,-16.3383
-81.733333,6.35
-83.5717,-6.91
-85.593333,-8.491667
-85.5933,-8.4917
-87.5,-9.9267
-89.5833,-11.23
-84.3383,-11.925
-81.4,-14.4817
-89.4333,-18.785
-91.875,-20.04
-94.933333,-21.603333
-94.9333,-21.6033
-103.4883,-25.455
-105.7533,-26.5017
-102.4,-19.1917
-95.68,-10.2533
-94.0917,-7.7917
-94.091667,-7.791667
-98.9333,-5.1667
-101.28,-6.4967
-104.175,-8.125
-119.9833,-16.5417
-133.35,-22.185
-123.335,-9.035
-117.3,14.3833
-125.0833,15.0667
-123.683,19.4
-125.083,15.067
-127.417,8.517
-150.917,-22.583
-160.85,-11.85
-159.267,-11.667
-158.517,-11.583
-157.617,-11.417
-157.683,-7.5
-158.65,-5.933
-154.65,-5.817
-149.283,-11.433
-148.4,-12.4
-146.383,-12.867
-144.367,-11.983
-142.717,-5.967
-121.233,23.267
158.263,32.698
63.643,-18.343
60.803,-27.98
60.5117,-29.2097
70.4933,-11.0161
53.142,-2.04
95.178,-10.752
127.432,7.497
133.333,15.3
133.26,17.067
138.975,16.908
139.485,16.752
142.333,16.35
65.5783,-18.0411
-177.312,17.08
-176.085,17.785
-163.853,30.35
-163.372,29.555
-162.278,28.138
145.945,34.01
148.31,32.81
149.273,32.018
151.222,31.557
153.407,29.522
159.437,23.815
159.45,24.027
159.538,21.483
163.147,21.16
163.397,21.145
170.953,35.582
172.262,32.137
174.95,36.577
178.637,36.433
179.18,36.755
149.27333,32.01833
159.53833,21.48333
-24.018,-22.293
-24.077,-15.882
-41.8,-56.17
9.192,-53.147
-43.4166,31.8166
-59.116,30.616
-62.433,33.567
-62.425,33.6
-60.967,38.95
-61.017,38.9
-150.6,54.4417
-150.3483,54.3405
-150.3383,54.3697
-150.3363,54.3558
-148.50817,53.90183
-151.32467,54.939
-66.817,39.95
60.1667,2.9
-41.15,10.867
-41.367,10.65
-17.05,0.417
-37.583,7.85
-34.2,7.883
-34.083,8.067
-172.6825,-8.167
172.9527,3.9258
176.6865,-1.7128
19.967,-45.133
96.983,-55.867
97.033,-36.083
-117.367,14.573
-117.287,14.553
-114.09,13.402
-109.115,9.855
-108.968,10.258
-108.85,9.97
-108.793,10.402
-165.867,-14.25
8.167,-36.5
8.067,-36.483
-117.317,14.383
126.147,-48.77
-106.057,15.523
-106.315,13.642
-109.1,10.7
-109.758,11.678
-109.605,11.18
-108.542,10.727
-108.775,10.41
-110.002,11.87
-110.007,11.86
-114.083,13.368
-114.345,13.535
-117.258,14.53
-117.37,14.605
-117.27,14.547
-117.353,14.527
-117.32,14.533
-117.31,14.577
-117.303,14.557
-117.337,14.587
-117.36,14.612
-118.555,14.585
-120.748,15.093
-121.032,14.603
-176.667,-54.0002
-176.6668,-53.9932
-166.127,-35.8497
-151.19,9.038
-67.25,-60.033
-135.583,-19.883
-137.783333,9.85
177.7667,-21.4167
-161.3667,-16.7333
-158.6667,-17.4833
-143.55,-12.7667
-130.1,-11.0
-124.2,14.9167
-137.1,16.25
-137.533,12.667
-141.917,-17.6
-113.283,9.45
-89.45,-32.217
-104.95,-4.717
-128.042,42.753
-168.8233,-7.5167
-168.5483,-7.3967
-168.4817,-7.365
-168.4667,-7.2017
-85.605,0.535
-81.147,0.307
-85.568,-0.407
-89.228,0.778
-81.155,-0.553
-81.157,-0.332
-81.037,-0.055
-82.743,-0.727
-82.738,-0.753
-81.162,-0.353
-81.138,-0.338
-81.192,-0.313
-81.432,-0.018
-81.502,-0.075
-87.478,2.65
-102.61,13.447
-101.625,11.418
-101.617,11.963
-101.6,12.037
-101.577,12.068
-101.548,10.853
-101.088,11.263
-100.9,12.962
-100.848,13.012
-100.522,12.245
-100.507,12.26
-100.363,12.567
-67.942,36.667
53.35,-1.617
-65.783,33.947
-47.987,13.07
-168.575,-8.05
-67.135,39.335
-40.097,-29.347
-39.243,-30.23
-35.6,-29.772
-44.517,31.3
-50.55,20.65
161.866667,35.483333
174.516667,36.383333
-177.0667,37.6833
-177.066667,37.683333
-160.283333,37.866667
-160.2833,37.8667
-156.416667,38.15
-154.716667,35.216667
-154.933333,30.333333
-154.9333,30.3333
-152.616667,14.316667
-152.016667,12.7
-150.816667,9.466667
-149.816667,7.583333
-152.933333,-3.8
-152.25,-7.416667
-149.5,-13.466667
-149.866667,-18.666667
-150.283333,-22.35
-137.716667,-32.6
-133.366667,-33.483333
-132.866667,-36.533333
-132.966667,-40.05
-131.383333,-39.683333
-131.3833,-39.6833
-118.816667,-39.216667
-105.083333,-39.066667
-98.766667,-39.366667
-83.1167,-37.4833
-83.116667,-37.483333
-73.933333,-34.116667
-74.7167,-33.5167
-74.716667,-33.516667
-20.233333,25.75
-82.183333,-42.716667
-150.55,-13.83333
-170.83333,-10.3
-173.0333,44.75
-173.2667,36.5
-164.8333,46.95
-165.75,47.1667
-121.88,19.0
-105.15,10.8833
-125.417,8.083
-125.61,7.69
-125.017,16.033
-125.435,15.0
-126.967,8.01
-126.973,8.183
-125.43,8.1
-125.5667,11.1683
-125.453,10.308
-103.8,11.633
-125.48,13.0517
-125.4533,10.3083
5.667,-26.1
46.117,-26.467
65.717,-23.5
-156.917,28.83
-104.135,8.267
-81.142,-0.302
-81.118,-0.357
144.3883,13.71
144.4017,13.6417
144.5567,14.625
145.2383,17.23
145.2933,17.375
145.6667,16.885
-162.843,0.462
-162.833,0.47
-162.812,0.497
-162.808,0.517
-159.523,-8.478
-159.522,-11.283
-159.508,-11.275
-159.502,-8.48
-159.498,-11.277
-159.472,-7.58
-159.463,-7.595
-159.46,-7.628
-159.428,-7.942
-159.405,-8.375
-159.4,-8.377
-159.393,-8.368
-159.382,-7.952
-159.377,-7.953
-159.365,-6.777
-159.352,-6.742
-159.35,-6.678
-159.34,-8.738
-159.337,-8.717
-159.075,-3.167
-159.065,-3.163
-158.843,-4.708
-158.84,-4.725
-158.832,-4.745
-158.82,-4.765
-158.803,-4.823
-158.802,-4.868
-158.667,-7.308
-158.658,-7.277
-158.64,-1.33
-158.607,-1.295
-158.605,-1.278
-158.467,-5.883
-158.45,-5.828
-158.447,-5.905
-157.963,-5.372
-157.605,-2.46
-157.595,-2.45
-157.578,-2.452
-157.573,-2.453
-157.305,-5.657
-157.297,-5.638
-157.295,-5.557
-157.283,-5.62
-157.142,-3.807
-157.083,-3.818
-157.053,-2.268
-157.048,-2.26
-156.77,-4.353
-156.763,-4.372
-156.76,-4.383
-156.225,-5.697
-155.593,-5.038
-155.583,-5.023
-155.465,-3.683
-155.44,-3.698
-121.73333,19.81666
-140.633,43.967
-143.117,37.25
60.345,2.7917
60.0417,2.77
60.0467,2.7567
59.88,2.7767
59.8683,2.7983
57.4083,-2.1317
-20.1867,42.91
59.8617,2.7725
59.8425,2.7992
60.065,2.935
60.0333,2.96
60.04,2.915
-107.8067,22.8565
-107.6167,21.6247
-107.545,22.3685
-107.4853,22.07
-107.48,22.065
-107.4363,21.5067
-107.4182,21.6393
-107.3883,21.5292
-107.3428,21.516
-107.0595,21.0863
113.95,-41.883333
103.15,-37.95
102.92,-37.0
102.0,-36.0
99.05,-35.9
98.9667,-34.9667
98.967,-34.97
101.0,-34.63
112.2667,-36.6333
118.0,-39.9333
115.9333,-39.9667
114.0,-38.6333
111.9833,-38.55
112.0167,-40.0
112.0333,-41.0
110.0667,-40.0333
-146.45,9.8483
-146.455,9.7583
-146.4467,9.7767
-146.41,9.7792
-146.3733,9.7817
-146.4767,9.8467
-146.3767,9.8117
-146.4175,9.8134
-146.4583,9.815
-146.4833,9.8133
-146.3533,9.8633
-146.355,9.89
-146.4233,9.8867
-146.4967,9.8417
-146.4617,9.8883
-146.4683,9.895
-146.4983,9.8967
-146.375,9.9217
-146.46,9.9333
-146.39,9.8777
-146.535,9.84
-146.55,9.81
-146.5133,9.8283
-146.4717,9.905
-152.7283,9.505
-152.6633,9.5283
-152.7067,9.5367
-152.747,9.578
-152.7467,9.5783
-152.7233,9.6017
-152.65,9.5733
-152.6667,9.5717
-152.5833,9.5767
-152.583,9.577
-152.6033,9.475
-152.615,9.495
-152.6225,9.4588
-152.5933,9.54
-152.625,9.4467
-152.675,9.452
-152.767,9.447
-152.7317,9.4675
-152.6967,9.4883
-152.7183,9.51
-152.6717,9.4667
-152.6683,9.4833
-152.667,9.5
-152.6317,9.5333
-152.68,9.535
-152.7583,9.5483
-152.6983,9.5833
-152.595,9.58
-152.6433,9.5467
-146.257,9.865
-146.3333,10.0367
-146.3983,10.0317
-146.398,10.032
-146.505,10.03
-146.335,10.1
-146.495,9.975
-146.3633,10.0967
-146.363,10.097
-146.405,10.1083
-146.4333,10.11
-146.483,10.112
-146.5183,10.0667
-146.485,10.065
-146.4817,10.0583
-146.44,10.0633
-146.3933,10.0617
-146.365,9.9917
-146.4033,9.9983
-146.49,10.01
-146.511,10.008
-146.5317,10.005
-146.415,10.0067
-146.402,9.977
-146.4017,9.9767
-146.36,9.9617
-147.3,14.555
-147.3333,14.2267
-167.9067,1.0917
-175.1967,10.565
-175.0417,10.4883
-175.0667,10.4783
-175.1533,10.45
-175.1933,10.455
-175.14,10.4917
-175.175,10.49
-175.2033,10.375
-175.1333,10.5267
-175.1917,10.5167
-175.05,10.4333
-175.1017,10.43
-175.0967,10.345
-175.195,10.485
-175.1083,10.385
-175.0733,10.38
-175.0267,10.3867
-175.1833,10.3967
-175.183,10.397
-175.185,10.425
8.175,-36.512
8.0733,-36.4867
-140.0,10.0
-140.103,10.012
-139.997,9.982
-133.032,13.573
-132.887,13.58
-132.9033,13.46
-132.987,13.482
-132.872,13.542
-120.4783,7.68
-92.788,6.547
-92.0,6.5
-91.465,6.533
-92.0967,5.7467
-91.355,5.3667
-91.44,6.045
-91.5917,7.1433
-92.7825,6.5033
-92.782,6.503
-92.818,6.506
-92.93,6.4533
-94.2133,9.2083
-112.875,13.1
-117.8967,13.4717
-121.5,23.9667
-121.5033,23.96
-119.3183,14.4783
-122.4183,12.2983
-122.075,8.6883
-80.1933,-10.7817
-92.885,-8.1417
-99.9517,-7.8117
-104.2283,-12.2533
-102.64,-13.0617
-101.6883,-14.8383
-101.6833,-12.5433
-101.8283,-10.7917
-145.4183,13.84
-149.44,15.58
177.64,17.95
165.69,20.1717
165.88,19.9933
165.8517,19.7217
-146.9833,18.5483
-141.1467,18.185
-135.5483,18.0483
-135.548,18.048
-130.15,17.9717
-124.6833,17.825
-119.0133,18.65
-113.552,18.998
-113.5517,18.9983
-116.3683,19.035
-158.233,19.1
-161.767,18.3
-162.05,18.783
-162.317,19.367
-162.167,19.383
-168.833,9.333
-169.0,9.0
-168.8,9.183
106.5,-16.283
104.267,-16.3
100.0,-19.933
97.8,-19.117
78.017,-21.517
74.983,-23.267
72.433,-24.117
51.9,-6.667
51.567,-6.6
60.75,-25.333
61.817,-26.933
